メーカー/ブランド,商品名,ASIN,想定仕入れ金額(上限),Amazon価格,実セラー数,想定月販,消化月数,カテゴリ,FBAサイズ,Amazonページ,Keepaリンク,メーカー検索(Google),ブランド,manufacturer,セラー名一覧,メーカー直販フラグ,赤字ライン(これ以上は赤字),仕入れ掛け率上限%,上限で仕入れた時の純利益,目標純利益率%,基準売価,基準売価の根拠,販売手数料率%,手数料内訳,新品最安値(送料込),過去最安値(2026-02-23以降),価格定義混在,月間ドロップ数,月間販売数,ランク,新品オファー数,規模フラグ,リスク区分,preset,価格帯,取得日時,判定,見送り理由
Gudluky,airtag エアタグ カード gpsタグ スマートタグ 紛失防止タグ【2026年最強 安全性・10年超長持ち!革新的Li-Po&極薄1.6mm&技適取得&全球追跡】スマートトラッ,B0F29G9GPQ,759,1893,3,11.0,0.91,家電＆カメラ > ウェアラブルデバイス > スマートトラッカー,標準(小型),https://www.amazon.co.jp/dp/B0F29G9GPQ,https://keepa.com/#!product/5-B0F29G9GPQ,https://www.google.com/search?q=Gudluky%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,Gudluky,Gudluky,LizhongF-JP / LiuGng-JPストア / 【公式】Gudluky,メーカー直販,1135,40.5,375,20,1877,過去最安値(2026-02-23以降),9.0,基準売価1877 − 販売手数料168(9.0%) − FBA配送290 − 保管1[0.08L×9170円/m³×0.9ヶ月] − 外注182 − 雑費100 − 目標利益375(20%),1893,1877,はい,44,1000,409,3,大手/海外疑い,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
パナソニック(Panasonic),Panasonic CTL1616 Solar Rechargeable CTL 1616 Battery Replacement Watch Cells Casio【並行輸入】,B00DULLIJ8,492,1680,2,14.67,0.68,家電＆カメラ > 電池 > 乾電池,標準(小型),https://www.amazon.co.jp/dp/B00DULLIJ8,https://keepa.com/#!product/5-B00DULLIJ8,https://www.google.com/search?q=%E3%83%91%E3%83%8A%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF%28Panasonic%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,パナソニック(Panasonic),Panasonic,CENFILL 【スウォッチグループ RENATAバッテリー正規輸入代理店】 / 【公式】9687SHOP,,792,32.8,300,20,1499,過去最安値(2026-02-23以降),9.0,基準売価1499 − 販売手数料134(9.0%) − FBA配送290 − 保管0[0.03L×9170円/m³×0.7ヶ月] − 外注182 − 雑費100 − 目標利益299(20%),1680,1499,はい,44,100,8333,2,大手/海外疑い,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
Zeniss,タイプc イヤホン 有線 HiFi 快適な装着感 type-c 有線イヤホン 絡み防止 遅延なし iphone17/15/16対応,B0GGZCD6Y7,505,1799,2,14.33,0.7,家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,標準(小型),https://www.amazon.co.jp/dp/B0GGZCD6Y7,https://keepa.com/#!product/5-B0GGZCD6Y7,https://www.google.com/search?q=Zeniss%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,Zeniss,Zeniss,公式ストアnet / 直販ストア,,809,33.3,304,20,1519,過去最安値(2026-02-23以降),9.0,基準売価1519 − 販売手数料136(9.0%) − FBA配送290 − 保管1[0.21L×9170円/m³×0.7ヶ月] − 外注182 − 雑費100 − 目標利益303(20%),1799,1519,はい,43,100,799,2,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
Ailewu,自撮り棒 【業界初売りミニ、安定モデル】スマホスタンド 三脚 スマホ デジカメ兼用 じどり棒 iphone&android対応 じどりぼう コンパクト 自 撮り 棒 リモコン付き ,B0B93NSQ3H,617,1698,4,8.6,1.16,家電＆カメラ > カメラ > 三脚・一脚,標準(小型),https://www.amazon.co.jp/dp/B0B93NSQ3H,https://keepa.com/#!product/5-B0B93NSQ3H,https://www.google.com/search?q=Ailewu%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,Ailewu,"ShenZhen Sailangde Technology Co., Ltd.",AilewuDirect [保証付き・日本語サポート] / AILEWU メーカー直営店 / AILEWU 直営店 / Ailewu Direct,メーカー直販,953,36.7,336,20,1681,過去最安値(2026-02-23以降),9.0,基準売価1681 − 販売手数料151(9.0%) − FBA配送290 − 保管4[0.40L×9170円/m³×1.2ヶ月] − 外注182 − 雑費100 − 目標利益336(20%),1698,1681,はい,43,2000,372,4,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
TXWDFHL,【2026新登場&LCD画面】鼻毛カッター メンズ 替刃付き USB充電式 はな毛カッター はなげカッター バッテリー残量の表示 1台多役 エチケットカッター 電動 鼻毛切り 耳毛,B0GBWZBMS5,431,1780,2,14.33,0.7,ホーム＆キッチン > 家電 > 理美容家電,標準(小型),https://www.amazon.co.jp/dp/B0GBWZBMS5,https://keepa.com/#!product/5-B0GBWZBMS5,https://www.google.com/search?q=TXWDFHL%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,TXWDFHL,TXWDFHL,FZD-JP / XXX-JP,,745,27.4,314,20,1572,過去最安値(2026-02-23以降),16.0,基準売価1572 − 販売手数料251(16.0%) − FBA配送290 − 保管3[0.42L×9170円/m³×0.7ヶ月] − 外注182 − 雑費100 − 目標利益314(20%),1780,1572,はい,43,700,3366,2,中小候補,リチウム/電源系(PSE・FBA危険物),A,1500-1999円,2026-08-24 12:54,候補,
Boytond,【ビジネス/オンライン会議最適】【気候フレンドリー認定取得】Boytond YYK-520 ヘッドセット Bluetooth5.3 片耳 ワイヤレス 耳掛け型 物理操作ボタン 2台,B0BPLVLQPG,510,1799,2,14.33,0.7,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,標準(小型),https://www.amazon.co.jp/dp/B0BPLVLQPG,https://keepa.com/#!product/5-B0BPLVLQPG,https://www.google.com/search?q=Boytond%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,Boytond,Boytond,Boytond / LiXiangMeicvhnj,メーカー直販,816,33.4,306,20,1529,過去最安値(2026-02-23以降),9.0,基準売価1529 − 販売手数料137(9.0%) − FBA配送290 − 保管3[0.40L×9170円/m³×0.7ヶ月] − 外注182 − 雑費100 − 目標利益305(20%),1799,1529,はい,43,1000,1090,2,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
HEIBAS,ヘッドセット bluetooth 108超長時間再生【2026至高のBluetooth 6.0チープ搭載】物理操作ボタン ハンズフリー通話,B0FPQP6T6V,690,1998,2,14.33,0.7,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,標準(小型),https://www.amazon.co.jp/dp/B0FPQP6T6V,https://keepa.com/#!product/5-B0FPQP6T6V,https://www.google.com/search?q=HEIBAS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,HEIBAS,Origin qilin,Sakasi JP / Cunmai JP,,1046,38.8,356,20,1781,過去最安値(2026-02-23以降),9.0,基準売価1781 − 販売手数料160(9.0%) − FBA配送290 − 保管2[0.34L×9170円/m³×0.7ヶ月] − 外注182 − 雑費100 − 目標利益356(20%),1998,1781,はい,43,3000,173,2,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
VELIKE,海外 変換プラグ VELIKE コンセント マルチ変換プラグ 2USBポート 全世界対応 電源変換器 海外旅行用充電器 A/O/BF/Cタイプ マルチアダプター 200ヶ国以上通用,B0C2YZ3ZFS,616,1678,3,10.75,0.93,家電＆カメラ > アクセサリ・サプライ > 旅行用電源変換プラグ,標準(小型),https://www.amazon.co.jp/dp/B0C2YZ3ZFS,https://keepa.com/#!product/5-B0C2YZ3ZFS,https://www.google.com/search?q=VELIKE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,VELIKE,VELIKE,VELIKE DIRECT / TOPEVER JP専売店 / YUBOEST JP直営店,メーカー直販,951,36.7,336,20,1678,過去最安値(2026-02-23以降),9.0,基準売価1678 − 販売手数料151(9.0%) − FBA配送290 − 保管3[0.40L×9170円/m³×0.9ヶ月] − 外注182 − 雑費100 − 目標利益335(20%),1678,1678,はい,43,500,747,3,中小候補,リチウム/電源系(PSE・FBA危険物),A,1500-1999円,2026-08-24 12:54,候補,
Zeniss,イヤホン【MFi認証品】 iphone用 有線イヤホン 純正 HiFi音質 通話可能 イヤホンマイク 遅延なし,B0BPHJRV4P,701,1797,4,8.4,1.19,家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,標準(小型),https://www.amazon.co.jp/dp/B0BPHJRV4P,https://keepa.com/#!product/5-B0BPHJRV4P,https://www.google.com/search?q=Zeniss%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,Zeniss,Shenzhen Boyi Electronics Co.LTD,cirの館 / 公式ストアnet / rwno激安 / 直販ストア,,1061,39.1,359,20,1797,過去最安値(2026-02-23以降),9.0,基準売価1797 − 販売手数料161(9.0%) − FBA配送290 − 保管2[0.22L×9170円/m³×1.2ヶ月] − 外注182 − 雑費100 − 目標利益359(20%),1797,1797,はい,42,1000,799,4,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
オウルテック,オウルテック ライトニングケーブル 巻取り式 両引きタイプ データ転送 480Mbps MFi認証取得 軽量 コンパクト 静音 iPhone/iPad対応 1.2m ホワイト OE,B0B5FWS7J7,677,1780,3,10.25,0.98,パソコン・周辺機器 > PCアクセサリ・サプライ > ケーブル・アクセサリ,標準(小型),https://www.amazon.co.jp/dp/B0B5FWS7J7,https://keepa.com/#!product/5-B0B5FWS7J7,https://www.google.com/search?q=%E3%82%AA%E3%82%A6%E3%83%AB%E3%83%86%E3%83%83%E3%82%AF%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,オウルテック,オウルテック,オウルテック ダイレクト / ミーニャ 簡易梱包、衣類ぬいぐるみ等は圧縮後発送となります / ECJOY! [創業24年インボイスT7011001061049],メーカー直販,1029,38.4,352,20,1762,過去最安値(2026-02-23以降),9.0,基準売価1762 − 販売手数料158(9.0%) − FBA配送290 − 保管2[0.22L×9170円/m³×1.0ヶ月] − 外注182 − 雑費100 − 目標利益352(20%),1780,1762,はい,41,100,2173,3,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
インクのチップス,インクのチップス キヤノン用 BCI-381+380/6MP 互換インク 381XL 380XL 6色セット TS8330 TS8430 など,B07JNHX84K,696,1898,1,21.0,0.48,パソコン・周辺機器 > PCアクセサリ・サプライ > プリンタアクセサリ,標準(小型),https://www.amazon.co.jp/dp/B07JNHX84K,https://keepa.com/#!product/5-B07JNHX84K,https://www.google.com/search?q=%E3%82%A4%E3%83%B3%E3%82%AF%E3%81%AE%E3%83%81%E3%83%83%E3%83%97%E3%82%B9%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,インクのチップス,インクのチップス,インクのチップス,メーカー直販,1054,38.9,358,20,1790,過去最安値(2026-02-23以降),9.0,基準売価1790 − 販売手数料161(9.0%) − FBA配送290 − 保管2[0.56L×9170円/m³×0.5ヶ月] − 外注182 − 雑費100 − 目標利益358(20%),1898,1790,はい,42,300,1934,2,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,見送り,実セラー数1（卸している証拠なし＝メーカー独占の疑い）
actiTube,actitube(アクティチューブ)活性炭フィルター 100本入 【Tuneフィルター】,B082Q18CL4,495,1740,3,10.5,0.95,ホーム＆キッチン > 家電 > 空調・季節家電,標準(小型),https://www.amazon.co.jp/dp/B082Q18CL4,https://keepa.com/#!product/5-B082Q18CL4,https://www.google.com/search?q=actiTube%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,actiTube,アクティチューブ(actiTube),ペーパーカンパニー / import_shop / KKPLオンライン,,830,29.6,335,20,1673,過去最安値(2026-02-23以降),16.0,基準売価1673 − 販売手数料267(16.0%) − FBA配送290 − 保管3[0.33L×9170円/m³×1.0ヶ月] − 外注182 − 雑費100 − 目標利益334(20%),1740,1673,はい,42,300,5704,4,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
JJC,JJC DJI Osmo Pocket 4P Osmo Pocket 4 マウントベース Osmo Pocket 3 固定ベース 定点撮影用 滑り止め 軽量 持ち運び便利 安定性 ,B0G33ZH58T,391,1599,1,20.5,0.49,家電＆カメラ > カメラ > アクセサリ,標準(小型),https://www.amazon.co.jp/dp/B0G33ZH58T,https://keepa.com/#!product/5-B0G33ZH58T,https://www.google.com/search?q=JJC%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,JJC,"Jinjiacheng Photography Equipment Co.,Ltd.",HIfoto,,663,28.8,272,20,1359,過去最安値(2026-02-23以降),9.0,基準売価1359 − 販売手数料122(9.0%) − FBA配送290 − 保管1[0.20L×9170円/m³×0.5ヶ月] − 外注182 − 雑費100 − 目標利益271(20%),1599,1359,はい,41,200,4614,2,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,見送り,実セラー数1（卸している証拠なし＝メーカー独占の疑い）
Anker,Anker PowerExtend (6-in-1)(USBタップ 電源タップ AC差込口 USB-Cポート USB-Aポート) 【PSE技術基準適合/USB Power Deli,B0BVLXDMZT,590,1640,2,13.33,0.75,パソコン・周辺機器 > PCアクセサリ・サプライ > 電源タップ,標準(小型),https://www.amazon.co.jp/dp/B0BVLXDMZT,https://keepa.com/#!product/5-B0BVLXDMZT,https://www.google.com/search?q=Anker%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,Anker,Anker,amito(アミト） / AnkerDirect,メーカー直販,918,36.0,328,20,1640,過去最安値(2026-02-23以降),9.0,基準売価1640 − 販売手数料147(9.0%) − FBA配送290 − 保管2[0.34L×9170円/m³×0.8ヶ月] − 外注182 − 雑費100 − 目標利益328(20%),1640,1640,はい,40,500,533,2,大手/海外疑い,リチウム/電源系(PSE・FBA危険物),A,1500-1999円,2026-08-24 12:54,候補,
